标题,里程,日期,地区,会员,原价,现价,过户情况
宝马M3 2009款 M3敞篷轿跑车,16万公里,2010-04,台州,1年黄金会员,15.20,130.26万,新上架
宝马2系 2021款 225i 四门轿跑车 M运动曜夜套装,0.4万公里,2021-03,杭州,5年黄金会员,22.98,29.35万,新上架-准新车
宝马5系 2014款 525Li 豪华设计套装,9万公里,2015-04,金华,1年黄金会员,18.60,54.23万,新上架-0次过户
宝马7系 2018款 730Li 领先型 M运动套装,5.8万公里,2018-02,金华,6年黄金会员,,已降2万,无
宝马X1 2021款 sDrive20Li 时尚型,2万公里,2020-12,杭州,6年黄金会员,16.80,30.37万,新上架-0次过户
宝马2系旅行车(进口) 2015款 218i 领先型,6万公里,2016-10,金华,1年黄金会员,8.00,30.38万,新上架-0次过户
宝马5系 2018款 528Li 上市特别版,8万公里,2018-03,金华,6年黄金会员,26.58,48.84万,无
宝马7系 2019款 730Li M运动套装,6.95万公里,2020-03,金华,6年黄金会员,56.88,89.88万,无
宝马3系 2022款 330i M运动曜夜套装,0.3万公里,2021-11,宁波,5年黄金会员,31.98,40.26万,新上架-准新车
宝马5系 2018款 530Li 领先型 豪华套装,11万公里,2017-11,金华,1年黄金会员,24.80,51.98万,新上架
宝马X1 2018款 sDrive20Li 领先型,5.36万公里,2018-01,杭州,3年黄金会员,15.50,34.39万,新上架-0次过户
宝马3系 2021款 325i M运动套装,1.59万公里,2021-06,杭州,3年黄金会员,26.98,34.07万,新上架-准新车
宝马M4 2014款 M4敞篷轿跑车,8.9万公里,2018-02,杭州,2年黄金会员,47.30,119.18万,新上架
宝马2系多功能旅行车 2018款 220i 尊享型运动套装,5万公里,2019-05,金华,1年黄金会员,13.50,32.54万,新上架-0次过户
宝马M4 2017款 M4双门轿跑车,6.9万公里,2018-10,杭州,3年黄金会员,55.80,98.43万,新上架-0次过户
宝马3系 2020款 325i M运动套装,5.1万公里,2020-01,台州,1年黄金会员,23.88,34.07万,新上架-0次过户
宝马5系 2022款 改款二 530Li xDrive M运动套装,0.1万公里,2022-11,台州,1年黄金会员,43.88,53.39万,新上架-准新车
宝马8系 2021款 改款 840i 双门轿跑车 M运动套装,0.12万公里,2021-12,杭州,5年黑金会员,93.88,118.53万,新上架-准新车
宝马iX3 2021款 改款 创领型,0.01万公里,未上牌,杭州,5年黑金会员,29.88,47.75万,新上架-准新车
宝马X3 2022款 改款 xDrive30i 领先型 M曜夜套装,0.01万公里,未上牌,杭州,6年黄金会员,36.80,47.97万,新上架-准新车
宝马3系 2022款 改款 325i M运动套装,0.01万公里,未上牌,杭州,6年黄金会员,27.60,34.07万,新上架-准新车
宝马3系 2023款 320i M运动套装,0.01万公里,未上牌,杭州,6年黄金会员,26.87,32.55万,新上架-准新车
宝马iX3 2021款 创领型,0.01万公里,未上牌,杭州,6年黄金会员,29.80,47.75万,新上架-准新车
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,0.01万公里,未上牌,杭州,6年黄金会员,36.80,47.41万,新上架-准新车
宝马5系新能源 2020款 里程升级版 530Le 豪华套装,4.1万公里,2020-06,杭州,6年黄金会员,29.90,54.26万,新上架-原厂质保
宝马X2 2021款 sDrive25i M运动套装,1.9万公里,2020-12,杭州,5年黑金会员,17.88,31.02万,4S店直卖-原厂质保
宝马5系 2019款 530Li 领先型 M运动套装,4.8万公里,2019-04,金华,6年黄金会员,33.80,50.36万,无
宝马3系 2017款 320Li M运动型,8.9万公里,2016-11,金华,6年黄金会员,15.88,38.41万,无
宝马X3 2022款 改款二 xDrive30i 领先型 M曜夜套装,0.01万公里,未上牌,杭州,5年黑金会员,36.99,47.97万,准新车-0次过户
宝马X5(进口) 2019款 xDrive40i M运动套装,6万公里,2019-06,杭州,6年黄金会员,58.00,82.48万,无
宝马X3 2019款 xDrive28i M运动套装,3.8万公里,2019-04,温州,1年黄金会员,,已降7000元,无
宝马5系 2019款 改款 525Li 豪华套装,6万公里,2019-07,温州,1年黄金会员,,已降1000元,无
宝马X1 2021款 改款 xDrive25Li 尊享型,0.3万公里,2021-10,丽水,2年黄金会员,23.88,36.88万,准新车-0次过户
宝马4系 2022款 425i M运动曜夜套装,0.9万公里,2022-01,杭州,6年黄金会员,43.80,42.52万,无
宝马3系 2015款 320Li 豪华设计套装,10万公里,2015-06,杭州,2年黄金会员,13.50,43.07万,无
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,1.5万公里,2022-01,杭州,6年黄金会员,38.80,47.41万,无
宝马Z4 2019款 sDrive 25i M运动套装,2.9万公里,2020-05,金华,6年黄金会员,37.88,53.06万,0次过户-原厂质保
宝马3系 2015款 320Li 超悦版时尚型,6万公里,2015-08,绍兴,5年黄金会员,13.58,37.97万,无
宝马5系 2018款 528Li 上市特别版,8万公里,2018-03,温州,4年黄金会员,25.98,48.84万,无
宝马5系 2019款 改款 525Li 豪华套装,5.8万公里,2020-01,杭州,2年黄金会员,30.98,46.34万,0次过户
宝马iX3 2022款 创领型,0.55万公里,2021-09,杭州,5年黄金会员,33.98,47.75万,准新车-0次过户
宝马1系(进口) 2008款 120i 自动挡,10万公里,2010-01,温州,7年黄金会员,3.98,31.26万,无
宝马X3 2018款 xDrive25i M运动套装 国VI,3.1万公里,2019-05,宁波,6年黄金会员,28.00,42.31万,0次过户
宝马3系 2019款 320Li 时尚型,5万公里,2019-01,金华,3年黄金会员,19.50,34.39万,无
宝马3系 2020款 325Li M运动套装,3.11万公里,2020-07,衢州,6年黄金会员,26.58,37.66万,无
