id,品牌,生产,型号,里程,日期,地区,会员,现价,原价,过户情况
0,宝马7,2013,730Li,13.1,2014-03,温州,4年,20.8,101.33,0次过户
1,宝马7,2013,730Li,13,2013-06,温州,2年,19.8,101.33,无
2,宝马7,2021,740Li,2.6,2021-04,台州,2年,71.8,101.82,准新车-0次过户
3,宝马5,2021,530Li,1.5,2021-11,宁波,4年,67.8,101.82,无
4,宝马7,2019,740Li,5.3,2020-04,杭州,4年,67.8,101.82,无
5,宝马7,2008,730Li经典版,15.5,2008-04,宁波,4年,5.0,102.69,新上架
6,宝马7,2019,730Li,3.2,2020-08,宁波,4年,5.0,102.69,新上架
7,宝马X1,2021,sDrive25Li,0.8,2021-10,宁波,4年,5.0,102.69,新上架
8,宝马5,2019,525Li,4.5,2019-04,宁波,4年,5.0,102.69,新上架
9,宝马6,2013,改款,10.8,2015-01,湖州,5年,30.98,103.34,无
10,宝马6,2013,改款,6,2014-08,绍兴,3年,22.8,103.34,无
11,宝马7,2014,730Li,8,2015-03,温州,4年,28.8,103.77,0次过户
12,宝马X5,2014,xDrive35i,9,2014-11,宁波,1年,27.88,103.99,0次过户
13,宝马5,2010,535i,15,2011-07,宁波,1年,14.5,105.07,无
14,宝马5,2010,535i,15,2010-11,宁波,1年,12.88,105.07,0次过户
15,宝马M4,2019,M4敞篷轿跑车竞速版,4.18,2020-04,杭州,2年,63.8,106.37,0次过户-原厂质保
16,宝马5,2011,535i,14.2,2011-06,湖州,1年,12.5,106.59,无
17,宝马5,2011,535i,10,2012-04,温州,4年,13.5,106.59,0次过户
18,宝马X6,2015,xDrive35i,7.9,2015-09,宁波,1年,32.98,108.33,0次过户
19,宝马M4,2014,M4双门轿跑车,8.31,2016-03,绍兴,4年,48.88,108.33,无
20,宝马X5,2011,xDrive35i,20,2012-11,台州,1年,11.5,109.09,0次过户
21,宝马7,2009,730Li豪华型,17,2010-06,温州,4年,10.58,110.50,0次过户
22,宝马7,2021,740Li,1.4,2021-01,台州,7年,81.8,115.93,原厂质保
23,宝马X5,2020,xDrive30i,6.1,2020-04,衢州,4年,69.8,115.93,无
24,宝马7,2019,改款,4.3,2020-07,杭州,4年,69.8,115.93,无
25,宝马8,2021,840i,0.17,2021-09,杭州,3年,91.98,116.36,准新车-0次过户
26,宝马8,2022,840i,0.01,2022-10,杭州,5年,118.8,117.01,准新车-4S店直卖
27,宝马8,2021,840i,0.15,2021-09,绍兴,1年,92.0,118.53,准新车-4S店直卖
28,宝马8,2021,改款,0.12,2021-12,杭州,5年,93.88,118.53,新上架-准新车
29,宝马M4,2014,M4敞篷轿跑车,5.6,2016-07,杭州,1年,44.8,119.18,无
30,宝马M4,2014,M4敞篷轿跑车,11,2015-01,金华,5年,39.8,119.18,0次过户
31,宝马8,2019,840i,0.4,2021-01,杭州,2年,81.5,119.18,新上架-0次过户
32,宝马M4,2014,M4敞篷轿跑车,8.9,2018-02,杭州,2年,47.3,119.18,新上架
33,宝马X7,2021,xDrive40i,0.3,2021-06,绍兴,1年,96.0,120.27,准新车-4S店直卖
34,宝马X7,2021,xDrive40i,2,2021-03,杭州,3年,89.8,120.27,准新车-0次过户
35,宝马6,2012,640i双门轿跑车,9,2013-12,台州,7年,20.98,122.44,无
36,宝马7,2016,740Li,14,2016-06,杭州,1年,39.8,128.95,无
37,宝马7,2017,740Li,8.5,2017-06,杭州,4年,40.98,128.95,0次过户
38,宝马M4,2018,M4敞篷轿跑车车迷限量版,2.7,2019-03,杭州,1年,65.8,130.14,0次过户
39,宝马M4,2018,M4敞篷轿跑车车迷限量版,5,2018-03,杭州,1年,55.8,130.14,无
40,宝马M3,2009,M3敞篷轿跑车,16,2010-04,台州,1年,15.2,130.26,新上架
41,宝马M3,2009,M3敞篷轿跑车,12,2009-06,杭州,7年,15.58,130.26,无
42,宝马M3,2009,M3敞篷轿跑车,9,2011-09,宁波,2年,22.9,130.26,0次过户
43,宝马7,2013,740Li,16,2013-02,台州,5年,19.8,132.81,无
44,宝马7,2005,740Li,20,2006-01,杭州,4年,3.18,135.90,新上架
45,宝马7,2009,740Li尊贵型,20,2011-05,台州,6年,11.98,153.05,无
46,宝马5,2020,530Le,1,2021-10,宁波,7年,109.0,156.19,新上架-准新车
47,宝马X5,2020,2020款,0.9,2021-07,宁波,7年,109.0,156.19,新上架-准新车
48,宝马X5,2020,2020款,0.9,2021-08,宁波,7年,109.0,156.19,新上架-准新车
49,宝马M5,2021,M5,2.8,2021-10,台州,6年,116.8,156.19,无
50,宝马X5,2008,xDrive48i豪华型,8.38,2009-01,温州,4年,8.38,188.44,0次过户
51,宝马1,2018,118i,5.8,2018-04,宁波,1年,9.58,21.69,新上架-0次过户
52,宝马1,2021,120i,1.37,2021-04,嘉兴,3年,13.48,22.12,准新车-原厂质保
53,宝马1,2021,120i,3.1,2021-02,金华,2年,12.5,22.12,准新车-0次过户
54,宝马1,2017,118i,4,2017-12,杭州,2年,9.88,22.23,0次过户
55,宝马1,2017,118i,6.6,2017-04,杭州,1年,8.5,22.23,0次过户
56,宝马1,2019,118i,7,2019-09,丽水,1年,11.88,24.29,0次过户
57,宝马1,2019,118i,4,2019-03,嘉兴,2年,11.28,24.29,0次过户
58,宝马1,2019,118i,4,2019-05,宁波,3年,10.0,24.29,新上架-0次过户
59,宝马1,2018,118i,6,2018-07,金华,1年,10.8,24.51,0次过户
60,宝马1,2018,118i,4,2018-05,绍兴,4年,10.98,24.51,0次过户
61,宝马1,2018,118i,7,2018-03,嘉兴,6年,10.8,24.51,0次过户
62,宝马1,2018,118i,7.3,2018-06,温州,7年,11.5,24.51,新上架-0次过户
63,宝马1,2021,120i,0.7,2021-08,杭州,6年,14.39,24.62,新上架-准新车
64,宝马1,2021,改款,1,2022-01,绍兴,2年,15.68,24.62,准新车-0次过户
65,宝马1,2021,120i,2.6,2021-01,宁波,1年,12.0,24.62,新上架-0次过户
66,宝马1,2021,改款,0.6,2021-11,丽水,2年,14.88,24.62,新上架-准新车
67,宝马1,2017,118i,7,2017-06,金华,5年,9.28,24.94,无
68,宝马1,2017,118i,14.3,2017-04,温州,5年,7.88,24.94,新上架-0次过户
69,宝马2,2016,218i,6.2,2016-08,宁波,1年,7.9,25.49,0次过户
70,宝马5,2014,525Li,9.2,2014-08,宁波,1年,7.9,25.49,0次过户
71,宝马7,2019,730Li,0.86,2022-06,宁波,1年,7.9,25.49,0次过户
72,宝马X5,2017,xDrive35i,6.56,2017-12,宁波,1年,7.9,25.49,0次过户
73,宝马1,2020,125i,3,2020-02,温州,4年,13.38,26.46,无
74,宝马1,2020,125i,3.9,2020-01,嘉兴,2年,13.8,26.46,无
75,宝马1,2021,125i,2.2,2021-01,杭州,4年,15.28,26.79,0次过户-原厂质保
76,宝马1,2022,125i,0.06,2022-06,湖州,1年,18.98,26.79,准新车-4S店直卖
77,宝马1,2022,125i,0.28,2021-12,丽水,3年,16.98,26.79,准新车-0次过户
78,宝马M6,2013,M6,6.2,2015-03,杭州,6年,69.5,260.40,0次过户
79,宝马7,2019,改款,0.07,2021-09,杭州,3年,198.8,263.55,准新车-0次过户
80,宝马7,2019,改款,3.6,2021-04,杭州,7年,173.8,263.55,准新车-0次过户
81,宝马7,2019,M760Li,0.15,2021-11,嘉兴,3年,198.88,263.55,准新车-0次过户
82,宝马2,2018,220i,5,2018-08,杭州,2年,15.5,27.12,无
83,宝马2,2018,220i,8.4,2018-04,杭州,6年,14.8,27.12,新上架-4S店直卖
84,宝马1,2018,118i,5.5,2019-01,杭州,5年,10.88,27.98,新上架-0次过户
85,宝马7,2010,760Li,12,2013-03,宁波,6年,28.8,273.32,0次过户
86,宝马7,2010,760Li,15,2012-02,宁波,6年,25.8,273.32,0次过户
87,宝马7,2010,760Li,15,2012-08,宁波,6年,22.8,273.32,0次过户
88,宝马1,2017,118i,8,2017-09,绍兴,2年,9.6,28.20,0次过户
89,宝马1,2013,改款,5,2014-05,杭州,6年,7.78,28.44,0次过户
90,宝马2,2018,220i,4.8,2019-03,杭州,1年,12.88,28.63,无
91,宝马X2,2021,sDrive20i,2.52,2021-03,嘉兴,3年,17.98,28.96,准新车-原厂质保
92,宝马X2,2020,sDrive20i,2.5,2020-12,杭州,5年,17.88,28.96,0次过户-原厂质保
93,宝马2,2021,225i,0.78,2021-09,杭州,3年,21.58,29.29,准新车-0次过户
94,宝马2,2015,218i,7.5,2018-02,杭州,1年,10.8,29.29,无
95,宝马2,2021,225i,0.4,2021-03,杭州,5年,22.98,29.35,新上架-准新车
96,宝马2,2015,218i,8,2017-07,温州,1年,10.88,29.96,0次过户
97,宝马2,2015,218i,6,2016-01,金华,1年,11.5,29.96,新上架-0次过户
98,宝马X1,2019,sDrive18Li,4.7,2019-06,绍兴,2年,15.8,30.05,0次过户
99,宝马3,2021,325Li,3,2021-03,宁波,1年,17.3,30.26,0次过户-原厂质保
100,宝马X1,2020,sDrive20Li,3.6,2020-09,台州,1年,17.3,30.26,0次过户-原厂质保
101,宝马X1,2021,sDrive20Li,2,2020-12,杭州,6年,16.8,30.37,新上架-0次过户
102,宝马X1,2021,sDrive20Li,1.46,2021-08,杭州,5年,17.8,30.37,准新车-原厂质保
103,宝马X1,2021,sDrive20Li,1,2021-07,温州,3年,16.9,30.37,新上架-准新车
104,宝马X1,2021,sDrive20Li,3,2021-01,嘉兴,2年,18.5,30.37,原厂质保
105,宝马2,2015,218i,6,2016-10,金华,1年,8.0,30.38,新上架-0次过户
106,宝马X1,2012,sDrive18i,8.7,2013-01,嘉兴,3年,7.42,30.61,0次过户
107,宝马1,2013,改款,10.6,2012-05,金华,3年,6.39,30.61,无
108,宝马X1,2012,sDrive18i,8.6,2012-11,杭州,3年,6.18,30.61,0次过户
109,宝马X1,2012,sDrive18i,10,2012-07,宁波,1年,6.08,30.61,无
110,宝马3,2015,316i,7.5,2014-07,杭州,1年,10.8,30.72,无
111,宝马X1,2018,sDrive18Li,11,2017-08,嘉兴,2年,12.98,30.81,0次过户
112,宝马X1,2018,sDrive18Li,4,2018-06,金华,2年,13.8,30.81,0次过户
113,宝马X1,2018,sDrive18Li,4.7,2019-02,杭州,2年,15.89,30.81,无
114,宝马X1,2018,sDrive18Li,5.2,2017-01,丽水,3年,13.5,30.81,0次过户
115,宝马X1,2013,sDrive18i,6,2014-05,台州,1年,7.68,30.94,0次过户
116,宝马X1,2013,sDrive18i,8.9,2013-07,宁波,3年,6.58,30.94,新上架-0次过户
117,宝马X1,2014,sDrive18i,10,2014-09,杭州,6年,7.98,30.94,新上架
118,宝马X1,2014,sDrive18i,14.52,2015-05,杭州,6年,8.88,30.94,0次过户
119,宝马X1,2014,sDrive18i,11.47,2015-02,杭州,6年,9.58,30.94,0次过户
120,宝马X1,2014,sDrive18i,15,2015-02,杭州,7年,9.26,30.94,无
121,宝马X1,2013,sDrive18i,5.8,2014-06,金华,4年,7.6,30.94,0次过户
122,宝马X1,2014,sDrive18i,6.6,2015-03,温州,2年,10.9,30.94,0次过户
123,宝马X2,2021,sDrive25i,1.9,2020-12,杭州,5年,17.88,31.02,4S店直卖-原厂质保
124,宝马X2,2022,sDrive25i,0.01,2022-07,嘉兴,3年,19.88,31.02,准新车-0次过户
125,宝马X1,2016,sDrive18Li,5.8,2017-04,宁波,1年,11.88,31.04,0次过户
126,宝马3,2017,318i,5,2017-09,嘉兴,1年,13.99,31.26,0次过户
127,宝马3,2017,318i,6,2017-10,温州,3年,13.9,31.26,0次过户
128,宝马1,2008,120i,10,2010-01,温州,7年,3.98,31.26,无
129,宝马3,2017,318i,5.6,2018-01,温州,2年,13.98,31.26,无
130,宝马1,2008,120i,7.1,2009-10,湖州,1年,3.38,31.26,无
131,宝马X2,2020,sDrive25i,3.98,2020-11,台州,2年,17.5,31.46,0次过户-原厂质保
132,宝马X2,2020,sDrive25i,3.5,2021-03,杭州,6年,16.88,31.46,新上架-准新车
133,宝马1,2013,改款,11,2015-04,衢州,1年,7.98,31.70,无
134,宝马3,2010,318i,8.2,2010-10,宁波,2年,4.2,31.80,0次过户
135,宝马7,2016,730Li,9.5,2016-06,宁波,2年,4.2,31.80,0次过户
136,宝马M4,2021,M4双门轿跑车,1.5,2022-03,宁波,2年,4.2,31.80,0次过户
137,宝马X1,2016,sDrive18Li,9.7,2016-07,宁波,2年,4.2,31.80,0次过户
138,宝马3,2017,320Li,6.8,2017-04,宁波,2年,4.2,31.80,0次过户
139,宝马2,2019,225i,6.8,2019-07,杭州,5年,18.8,31.89,新上架-0次过户
140,宝马2,2018,220i,4.1,2018-08,杭州,1年,16.78,31.89,0次过户
141,宝马2,2018,220i,8.6,2018-06,金华,2年,17.5,31.89,无
142,宝马3,2020,320i,3,2020-09,绍兴,1年,23.0,31.90,4S店直卖-0次过户
143,宝马3,2022,320i,2,2022-03,金华,6年,24.58,31.90,准新车-0次过户
144,宝马3,2020,320i,1,2020-08,绍兴,5年,25.98,31.90,原厂质保
145,宝马X1,2020,sDrive20Li,3,2020-01,丽水,3年,17.8,32.22,0次过户-原厂质保
146,宝马X1,2020,sDrive20Li,1,2020-10,温州,3年,17.8,32.22,0次过户-原厂质保
147,宝马X1,2019,sDrive18Li,6,2019-05,杭州,2年,13.68,32.22,0次过户
