,品牌,生产,型号,里程,日期,地区,会员,原价,现价,过户情况
0,宝马7系,2013款,730Li,13.1万公里,2014-03,温州,4年黄金会员,20.8,101.33,0次过户
1,宝马7系,2013款,730Li,13万公里,2013-06,温州,2年黄金会员,19.8,101.33万,无
2,宝马7系,2021款,740Li,2.6万公里,2021-04,台州,2年黄金会员,71.8,101.82万,准新车-0次过户
3,宝马5系,2021款,530Li,1.5万公里,2021-11,宁波,4年会员,67.8,101.82万,无
4,宝马7系,2019款,740Li,5.3万公里,2020-04,杭州,4年会员,67.8,101.82万,无
5,宝马7系,2008款,730Li经典版,15.5万公里,2008-04,宁波,4年黄金会员,5.0,102.69万,新上架
6,宝马7系,2019款,730Li,3.2万公里,2020-08,宁波,4年黄金会员,5.0,102.69万,新上架
7,宝马X1,2021款,sDrive25Li,0.8万公里,2021-10,宁波,4年黄金会员,5.0,102.69万,新上架
8,宝马5系,2019款,525Li,4.5万公里,2019-04,宁波,4年黄金会员,5.0,102.69万,新上架
9,宝马6系,2013款,改款,10.8万公里,2015-01,湖州,5年黄金会员,30.98,103.34万,无
10,宝马6系,2013款,改款,6万公里,2014-08,绍兴,3年黄金会员,22.8,103.34万,无
11,宝马7系,2014款,730Li,8万公里,2015-03,温州,4年会员,28.8,103.77万,0次过户
12,宝马X5(进口),2014款,xDrive35i,9万公里,2014-11,宁波,1年黄金会员,27.88,103.99万,0次过户
13,宝马5系GT,2010款,535i,15万公里,2011-07,宁波,1年黄金会员,14.5,105.07万,无
14,宝马5系GT,2010款,535i,15万公里,2010-11,宁波,1年黄金会员,12.88,105.07万,0次过户
15,宝马M4,2019款,M4敞篷轿跑车竞速版,4.18万公里,2020-04,杭州,2年黄金会员,63.8,106.37万,0次过户-原厂质保
16,宝马5系GT,2011款,535i,14.2万公里,2011-06,湖州,1年黄金会员,12.5,106.59万,无
17,宝马5系GT,2011款,535i,10万公里,2012-04,温州,4年黄金会员,13.5,106.59万,0次过户
18,宝马X6,2015款,xDrive35i,7.9万公里,2015-09,宁波,1年黄金会员,32.98,108.33万,0次过户
19,宝马M4,2014款,M4双门轿跑车,8.31万公里,2016-03,绍兴,4年黄金会员,48.88,108.33万,无
20,宝马X5(进口),2011款,xDrive35i,20万公里,2012-11,台州,1年黄金会员,11.5,109.09万,0次过户
21,宝马7系,2009款,730Li豪华型,17万公里,2010-06,温州,4年黄金会员,10.58,110.50万,0次过户
22,宝马7系,2021款,740Li,1.4万公里,2021-01,台州,7年钻石会员,81.8,115.93万,原厂质保
23,宝马X5(进口),2020款,xDrive30i,6.1万公里,2020-04,衢州,4年会员,69.8,115.93万,无
24,宝马7系,2019款,改款,4.3万公里,2020-07,杭州,4年会员,69.8,115.93万,无
25,宝马8系,2021款,840i,0.17万公里,2021-09,杭州,3年黄金会员,91.98,116.36万,准新车-0次过户
26,宝马8系,2022款,840i,0.01万公里,未上牌,杭州,5年黑金会员,118.8,117.01万,准新车-4S店直卖
27,宝马8系,2021款,840i,0.15万公里,2021-09,绍兴,1年黄金会员,92.0,118.53万,准新车-4S店直卖
28,宝马8系,2021款,改款,0.12万公里,2021-12,杭州,5年黑金会员,93.88,118.53万,新上架-准新车
29,宝马M4,2014款,M4敞篷轿跑车,5.6万公里,2016-07,杭州,1年黄金会员,44.8,119.18万,无
30,宝马M4,2014款,M4敞篷轿跑车,11万公里,2015-01,金华,5年黄金会员,39.8,119.18万,0次过户
31,宝马8系,2019款,840i,0.4万公里,2021-01,杭州,2年黄金会员,81.5,119.18万,新上架-0次过户
32,宝马M4,2014款,M4敞篷轿跑车,8.9万公里,2018-02,杭州,2年黄金会员,47.3,119.18万,新上架
33,宝马X7,2021款,xDrive40i,0.3万公里,2021-06,绍兴,1年黄金会员,96.0,120.27万,准新车-4S店直卖
34,宝马X7,2021款,xDrive40i,2万公里,2021-03,杭州,3年会员,89.8,120.27万,准新车-0次过户
35,宝马6系,2012款,640i双门轿跑车,9万公里,2013-12,台州,7年钻石会员,20.98,122.44万,无
36,宝马7系,2016款,740Li,14万公里,2016-06,杭州,1年黄金会员,39.8,128.95万,无
37,宝马7系,2017款,740Li,8.5万公里,2017-06,杭州,4年黄金会员,40.98,128.95万,0次过户
38,宝马M4,2018款,M4敞篷轿跑车车迷限量版,2.7万公里,2019-03,杭州,1年黄金会员,65.8,130.14万,0次过户
39,宝马M4,2018款,M4敞篷轿跑车车迷限量版,5万公里,2018-03,杭州,1年黄金会员,55.8,130.14万,无
40,宝马M3,2009款,M3敞篷轿跑车,16万公里,2010-04,台州,1年黄金会员,15.2,130.26万,新上架
41,宝马M3,2009款,M3敞篷轿跑车,12万公里,2009-06,杭州,7年黄金会员,15.58,130.26万,无
42,宝马M3,2009款,M3敞篷轿跑车,9万公里,2011-09,宁波,2年黄金会员,22.9,130.26万,0次过户
43,宝马7系,2013款,740Li,16万公里,2013-02,台州,5年黄金会员,19.8,132.81万,无
44,宝马7系,2005款,740Li,20万公里,2006-01,杭州,4年会员,3.18,135.90万,新上架
45,宝马7系,2009款,740Li尊贵型,20万公里,2011-05,台州,6年黄金会员,11.98,153.05万,无
46,宝马5系新能源,2020款,530Le,1万公里,2021-10,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
47,宝马X5,M,2020款,0.9万公里,2021-07,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
48,宝马X5,M,2020款,0.9万公里,2021-08,宁波,7年黄金会员,109.0,156.19万,新上架-准新车
49,宝马M5,2021款,M5,2.8万公里,2021-10,台州,6年黄金会员,116.8,156.19万,无
50,宝马X5(进口),2008款,xDrive48i豪华型,8.38万公里,2009-01,温州,4年黄金会员,8.38,188.44万,0次过户
51,宝马1系,2018款,118i,5.8万公里,2018-04,宁波,1年会员,9.58,21.69万,新上架-0次过户
52,宝马1系,2021款,120i,1.37万公里,2021-04,嘉兴,3年钻石会员,13.48,22.12万,准新车-原厂质保
53,宝马1系,2021款,120i,3.1万公里,2021-02,金华,2年黄金会员,12.5,22.12万,准新车-0次过户
54,宝马1系,2017款,118i,4万公里,2017-12,杭州,2年黄金会员,9.88,22.23万,0次过户
55,宝马1系,2017款,118i,6.6万公里,2017-04,杭州,1年会员,8.5,22.23万,0次过户
56,宝马1系,2019款,118i,7万公里,2019-09,丽水,1年会员,11.88,24.29万,0次过户
57,宝马1系,2019款,118i,4万公里,2019-03,嘉兴,2年黄金会员,11.28,24.29万,0次过户
58,宝马1系,2019款,118i,4万公里,2019-05,宁波,3年会员,10.0,24.29万,新上架-0次过户
59,宝马1系,2018款,118i,6万公里,2018-07,金华,1年会员,10.8,24.51万,0次过户
60,宝马1系,2018款,118i,4万公里,2018-05,绍兴,4年黄金会员,10.98,24.51万,0次过户
61,宝马1系,2018款,118i,7万公里,2018-03,嘉兴,6年会员,10.8,24.51万,0次过户
62,宝马1系,2018款,118i,7.3万公里,2018-06,温州,7年黄金会员,11.5,24.51万,新上架-0次过户
63,宝马1系,2021款,120i,0.7万公里,2021-08,杭州,6年黄金会员,14.39,24.62万,新上架-准新车
64,宝马1系,2021款,改款,1万公里,2022-01,绍兴,2年黄金会员,15.68,24.62万,准新车-0次过户
65,宝马1系,2021款,120i,2.6万公里,2021-01,宁波,1年会员,12.0,24.62万,新上架-0次过户
66,宝马1系,2021款,改款,0.6万公里,2021-11,丽水,2年黄金会员,14.88,24.62万,新上架-准新车
67,宝马1系,2017款,118i,7万公里,2017-06,金华,5年黄金会员,9.28,24.94万,无
68,宝马1系,2017款,118i,14.3万公里,2017-04,温州,5年黄金会员,7.88,24.94万,新上架-0次过户
69,宝马2系旅行车,2016款,218i,6.2万公里,2016-08,宁波,1年会员,7.9,25.49万,0次过户
70,宝马5系,2014款,525Li,9.2万公里,2014-08,宁波,1年会员,7.9,25.49万,0次过户
71,宝马7系,2019款,730Li,0.86万公里,2022-06,宁波,1年会员,7.9,25.49万,0次过户
72,宝马X5(进口),2017款,xDrive35i,6.56万公里,2017-12,宁波,1年会员,7.9,25.49万,0次过户
73,宝马1系,2020款,125i,3万公里,2020-02,温州,4年黄金会员,13.38,26.46万,无
74,宝马1系,2020款,125i,3.9万公里,2020-01,嘉兴,2年黄金会员,13.8,26.46万,无
75,宝马1系,2021款,125i,2.2万公里,2021-01,杭州,4年黄金会员,15.28,26.79万,0次过户-原厂质保
76,宝马1系,2022款,125i,0.06万公里,未上牌,湖州,1年黄金会员,18.98,26.79万,准新车-4S店直卖
77,宝马1系,2022款,125i,0.28万公里,2021-12,丽水,3年黄金会员,16.98,26.79万,准新车-0次过户
78,宝马M6,2013款,M6,6.2万公里,2015-03,杭州,6年黄金会员,69.5,260.40万,0次过户
79,宝马7系,2019款,改款,0.07万公里,2021-09,杭州,3年黄金会员,198.8,263.55万,准新车-0次过户
80,宝马7系,2019款,改款,3.6万公里,2021-04,杭州,7年钻石会员,173.8,263.55万,准新车-0次过户
81,宝马7系,2019款,M760Li,0.15万公里,2021-11,嘉兴,3年钻石会员,198.88,263.55万,准新车-0次过户
